ID,Content,Covers,ASIL,Fault ID,Detection Time,Reaction Time,Debounce,Recovery,Safe State,DTC,Verification
SWE2_REQ_0001,"THE Signal Acquisition module SHALL read the VehSpd signal from the CAN input buffer and perform range validation against [0 kph to 250 kph] within [40 ms] of reception, flagging F_OOR_HI_VEHSPD when the value exceeds the upper bound and F_OOR_LO_VEHSPD when the value is below the lower bound.","SYS_REQ_0001,SYS_REQ_0002,SYS_REQ_0003",ASIL B,"F_OOR_HI_VEHSPD, F_OOR_LO_VEHSPD",8 ms,8 ms,3 cycles,N/A,N/A,"DTC_101_VSPD_OOR_HI, DTC_101_VSPD_OOR_LO",Unit Test / SIL
SWE2_REQ_0002,"THE Timeout Monitor module SHALL start a watchdog timer on each valid reception of VehSpd and SHALL set F_TO_VEHSPD if no new sample of VehSpd arrives within [50 ms], notifying the Fault Manager within [5 ms] of expiry.",SYS_REQ_0004,ASIL B,F_TO_VEHSPD,5 ms,5 ms,N/A,N/A,N/A,DTC_101_VSPD_TO,Unit Test / SIL
SWE2_REQ_0003,"THE Alive Counter Monitor module SHALL compare the VehSpd AliveCounter value of the current cycle with the previous cycle and SHALL set F_ALC_VEHSPD if the value has not incremented for [3 consecutive cycles], reporting the fault to the Fault Manager within [5 ms].",SYS_REQ_0005,ASIL B,F_ALC_VEHSPD,5 ms,5 ms,3 cycles,N/A,N/A,DTC_101_VSPD_ALC,Unit Test / SIL
SWE2_REQ_0004,THE CRC Validation module SHALL compute the CRC-8 checksum over the received VehSpd message payload and SHALL set F_CRC_VEHSPD within [5 ms] if the computed value does not match the transmitted CRC byte.,SYS_REQ_0006,ASIL B,F_CRC_VEHSPD,5 ms,5 ms,N/A,N/A,N/A,DTC_101_VSPD_CRC,Unit Test / SIL
SWE2_REQ_0005,"WHEN the Fault Manager receives any active fault from {F_OOR_HI_VEHSPD, F_OOR_LO_VEHSPD, F_TO_VEHSPD, F_ALC_VEHSPD, F_CRC_VEHSPD}, THE Reaction module SHALL command Torque = 0 Nm, disable LKA, activate the driver Warning, and set the corresponding DTC within [10 ms] of fault confirmation.","SYS_REQ_0002,SYS_REQ_0003,SYS_REQ_0004,SYS_REQ_0005,SYS_REQ_0006",ASIL B,"F_OOR_HI_VEHSPD, F_OOR_LO_VEHSPD, F_TO_VEHSPD, F_ALC_VEHSPD, F_CRC_VEHSPD",N/A,10 ms,N/A,N/A,"Torque = 0 Nm, LKA OFF, Warning ON","DTC_101_VSPD_OOR_HI, DTC_101_VSPD_OOR_LO, DTC_101_VSPD_TO, DTC_101_VSPD_ALC, DTC_101_VSPD_CRC",Unit Test / SIL
SWE2_REQ_0006,"WHILE F_TO_VEHSPD is active, THE Recovery module SHALL monitor VehSpd validity and SHALL clear F_TO_VEHSPD plus extinguish DTC_101_VSPD_TO within [15 ms] once VehSpd has been continuously valid for [500 ms].",SYS_REQ_0007,ASIL B,F_TO_VEHSPD,N/A,15 ms,500 ms,Resume operation,N/A,DTC_101_VSPD_TO,Unit Test / Recovery Test
SWE2_REQ_0007,"THE Signal Acquisition module SHALL read the YawRate signal from the CAN input buffer and perform range validation against [-120 deg/s to 120 deg/s] within [40 ms] of reception, flagging F_OOR_HI_YAWRATE when the value exceeds the upper bound and F_OOR_LO_YAWRATE when the value is below the lower bound.","SYS_REQ_0008,SYS_REQ_0009,SYS_REQ_0010",ASIL B,"F_OOR_HI_YAWRATE, F_OOR_LO_YAWRATE",8 ms,8 ms,3 cycles,N/A,N/A,"DTC_102_YAW_OOR_HI, DTC_102_YAW_OOR_LO",Unit Test / SIL
SWE2_REQ_0008,"THE Timeout Monitor module SHALL start a watchdog timer on each valid reception of YawRate and SHALL set F_TO_YAWRATE if no new sample of YawRate arrives within [50 ms], notifying the Fault Manager within [5 ms] of expiry.",SYS_REQ_0011,ASIL B,F_TO_YAWRATE,5 ms,5 ms,N/A,N/A,N/A,DTC_102_YAW_TO,Unit Test / SIL
SWE2_REQ_0009,"THE Alive Counter Monitor module SHALL compare the YawRate AliveCounter value of the current cycle with the previous cycle and SHALL set F_ALC_YAWRATE if the value has not incremented for [3 consecutive cycles], reporting the fault to the Fault Manager within [5 ms].",SYS_REQ_0012,ASIL B,F_ALC_YAWRATE,5 ms,5 ms,3 cycles,N/A,N/A,DTC_102_YAW_ALC,Unit Test / SIL
SWE2_REQ_0010,THE CRC Validation module SHALL compute the CRC-8 checksum over the received YawRate message payload and SHALL set F_CRC_YAWRATE within [5 ms] if the computed value does not match the transmitted CRC byte.,SYS_REQ_0013,ASIL B,F_CRC_YAWRATE,5 ms,5 ms,N/A,N/A,N/A,DTC_102_YAW_CRC,Unit Test / SIL
SWE2_REQ_0011,"WHEN the Fault Manager receives any active fault from {F_OOR_HI_YAWRATE, F_OOR_LO_YAWRATE, F_TO_YAWRATE, F_ALC_YAWRATE, F_CRC_YAWRATE}, THE Reaction module SHALL command Torque = 0 Nm, disable LKA, activate the driver Warning, and set the corresponding DTC within [10 ms] of fault confirmation.","SYS_REQ_0009,SYS_REQ_0010,SYS_REQ_0011,SYS_REQ_0012,SYS_REQ_0013",ASIL B,"F_OOR_HI_YAWRATE, F_OOR_LO_YAWRATE, F_TO_YAWRATE, F_ALC_YAWRATE, F_CRC_YAWRATE",N/A,10 ms,N/A,N/A,"Torque = 0 Nm, LKA OFF, Warning ON","DTC_102_YAW_OOR_HI, DTC_102_YAW_OOR_LO, DTC_102_YAW_TO, DTC_102_YAW_ALC, DTC_102_YAW_CRC",Unit Test / SIL
